^:<name=antho footnote=ck>	note
83.5	Scobie was the commander of the British imperialist forces of aggression in Greece.^p In October 1944, when the German invaders were retreating in defeat on the European continent, Scobie's troops entered the country, bringing with them the reactionary Greek government that had been in exile in London.^p Scobie directed and assisted this government in attacking the Greek People's Liberation Army, which had waged a long and heroic struggle against the German invaders, and in massacring Greek patriots, and so plunged Greece into a blood bath.
83.6	Pao chia was the administrative system by which the Kuomintang reactionary clique enforced its fascist rule at the primary level.^p On August 1, 1932, Chiang Kai-shek promulgated his "Regulations for the Organization of Pao and Chia and for a Population Census in the Counties", covering the provinces of Honan, Hupeh and Anhwei.^p The "Regulations" provided that "the pao and chia are to be organized on the basis of households; there is to be a head of each household, of each chia, which is made up of ten households, and of each pao, which is made up of ten chia".^p Neighbours were required to watch each other's activities and report them to the authorities, and all were punishable when one was found guilty; counter-revolutionary measures for exacting compulsory labour were also laid down.^p On November 7, 1934, the Kuomintang government officially announced that this system of fascist rule was to be established in all the provinces and municipalities under its rule.
83.7	The Cairo conference, held by China, the United States and Britain in November 1943, issued the Cairo Declaration which clearly stipulated that Taiwan and certain other territories were to be returned to China.^p In June 1950 the USA government sent a fleet to control Taiwan in open repudiation of this agreement, in the attempt to deprive China of her sovereignty over it.
83.8	Yuan Shih-kai was the head of the Northern warlords in the last years of the Ching Dynasty.^p After the Ching Dynasty was overthrown by the Revolution of 1911, he usurped the president of the Republic and organized the first government of the Northern warlords, which represented the big landlord and big comprador classes.^p He did this by relying on counter-revolutionary armed force and on the support of the imperialists and by taking advantage of the conciliationist character of the bourgeoisie, which was then leading the revolution.^p In 1915 he wanted to make himself emperor and, to gain the support of the Japanese imperialists, accepted the Twenty-one Demands with which Japan aimed at obtaining exclusive control of all China.^p In December of the same year an uprising against his assumption of the throne took place in Yunnan Province and promptly won nation-wide response and support.^p Yuan Shih-kai died in Peking in June 1916.
83.9	Omei is a famous mountain in the southwestern part of Szechuan Province.^p Here it symbolizes the mountainous areas of Szechuan, the last refuge of the Chiang Kai-shek ruling clique in the War of Resistance Against Japan.
83.10	From Dr. Sun Yat-sen's "Statement on My Departure for the North", dated November 10, 1924.
83.11	For many decades, beginning with the end of the 18th century, Britain exported an increasing quantity of opium to China.^p This traffic not only subjected the Chinese people to drugging but also plundered China of her silver.^p It aroused fierce opposition in China.^p In 1840, under the pretext of safeguarding its trade with China, Britain launched armed aggression against her.^p The Chinese troops led by Lin Tse-hsu put up resistance, and the people in Canton spontaneously organized the "Quell the British Corps", which dealt serious blows to the British forces of aggression.^p In 1842, however, the corrupt Ching regime signed the Treaty of Nanking with Britain.^p This treaty provided for the payment of indemnities and the cession of Hongkong to Britain, and stipulated that Shanghai, Foochow, Amoy, Ningpo and Canton were to be opened to British trade and that tariff rates for British goods imported into China were to be jointly fixed by China and Britain.
83.12	The Atlantic Charter was issued jointly by the United States and Britain at the conclusion of their Atlantic conference in August 1941.^p The Moscow conference was held in October 1943 by the foreign ministers of the Soviet Union, the United States and Britain.^p The Teheran conference of the Soviet Union, the United States and Britain was held in the capital of Iran from November to December 1943.^p The Crimea conference of the Soviet Union, the United States and Britain took place in February 1945 at Yalta.^p At all these international conferences the signatories recorded their resolve to defeat fascist Germany and Japan through common endeavour and, after the war, to prevent the revival of the forces of aggression and the remnants of fascism, maintain world peace and help the peoples of all countries to realize their aspirations for independence and democracy.^p But immediately after the war the USA and British governments violated all these international agreements.
83.13	As the representative of China's Liberated Areas Comrade Tang Pi-wu attended the United Nations Conference on International Organization which was held at San Francisco from April to June 1945, with the participation of representatives from fifty countries.^p The proposals for the Organization of the United Nations were drafted at Dumbarton Oaks, USAA., where the representatives of the Soviet Union, the United States, Britain and China met from August to October 1944 in accordance with the decisions of the Moscow and Teheran conferences.
83.14	With Japan's surrender the situation changed and the people's conference of the Chinese Liberated Areas was not convened, although a Preparatory Committee for this conference was formed in Yenan after the Seventh National Congress of the Chinese Communist Party and held an inaugural meeting which was attended by representative from all the Liberated Areas.
84.1	Patrick J. Hurley, a reactionary Republican Party politician, was appointed USA ambassador to China towards the end of 1944.^p In November 1945 he was forced to resign because his support for Chiang Kai-shek's anti-Communist policy roused the firm opposition of the Chinese people.^p  Harley's open declaration against cooperation with the Chinese Communist Party was made on April 2, 1945 at a USA State Department press conference in Washington.^p For details, see "The Hurley-Chiang Duet Is a Flop", pp. 281-84 of this volume.
84.2	See J. V. Stalin, "The Foundations of Leninism", Works, Eng. ed., FLPH, Moscow, 1953, Vol. VI, pp. 74-82.
86.1	The radio speech made by Chiang Kai-shek on January 1, 1945 did not even mention the ignominious defeats of the Kuomintang troops at the hands of the Japanese aggressors in the previous year, but maligned the people and opposed the proposal for abolishing the Kuomintang's one-party dictatorship and for setting up a coalition government and a joint supreme command, a proposal supported by all the people and all the anti-Japanese parties in the country.^p He insisted on continuing the Kuomintang's one-party dictatorship and as a shield against the people's criticism he talked about convening a Kuomintang-controlled "National Assembly" which had been spurned by the whole nation.
86.2	On March l, 1945 Chiang Kai-shek made a speech in Chungking at the Association for the Establishment of Constitutional Government.^p Besides reiterating the reactionary views of his New Year's Day speech, Chiang proposed the formation of a Committee of Three, including a USA representative, to "reorganize" the Eighth Route Army and the New Fourth Army, which amounted to an open invitation to the USA imperialists to intervene in China's domestic affairs.
86.3	In 1923, the Northern warlord Tsao Kun had himself elected "President of the Republic of China" by giving members of parliament a bribe of 5,000 silver dollars each.^p He became notorious as the president elected through bribery, and the bribed members came to be called "members of the Parliament of Pigs".^p Comrade Mao Tse-tung's analogy here likens the Kuomintang's bogus "National Assembly" to the "Parliament of Pigs".
88.1	Earl Browder was the General Secretary of the Communist Party of the United States of America from 1930 to 1944.^p  During World War II, the Rightist ideas in the Communist Party of the USAA., of which Browder was the chief exponent, developed into an anti-Marxist revisionist-capitulationist line.^p  From December 1943 onward, Browder advocated this line in a number of speeches and articles and in April 1944 he published Teheran, as his Right opportunist programme.^p  Revising the basic Leninist thesis that imperialism is monopolistic, decadent and moribund capitalism, and denying the imperialist nature of USA capitalism, he declared that USA capitalism "retains some of the characteristics of a young capitalism" (Browder's italics) and that there is a "common interest" between the proletariat and the big bourgeoisie in the USAA.^p  Thus he pleaded for the safeguarding of the system of monopolist trusts and dreamed about saving USA capitalism from inevitable crises by means of class conciliation.^p  Basing himself on this absurd appraisal of USA capitalism and following a capitulationist line of class collaboration with monopoly capital, Browder in May 1944 presided over the dissolution of the Communist Party of the USAA., the party of the USA proletariat, and formed a non-Party organization, the Communist Political Association of the USAA.^p From the very beginning,^p  Browder's wrong line met with opposition from many members of the Communist Party of the USAA.^p with Comrade William Z.^p Poster at their head.^p  Under the leadership of Comrade Foster, the Communist Political Association in June 1945 passed a resolution denouncing Browder's line.^p In July the association held a special national convention and decided on the thorough liquidation of this line and the re-establishment of the Communist Party of the USAA.^p  Browder was expelled from the Party in February 1946 because he persisted in his stand, which was a betrayal of the proletariat, and because he openly supported the imperialist policy of the Truman Administration and engaged in factional activities against the Party.
90.1	On August 8, 1945, the Soviet government declared war on Japan.^p On August 10 the Mongolian government declared war on Japan.^p The Soviet Red Army moved by land and sea into China's Northeast and into Korea and swiftly routed the Japanese Kwantung Army.^p The joint Soviet-Mongolian armies crossed the Inner Mongolian desert and entered Jehol and Chahar Provinces.^p On August 10 the Japanese government was compelled to send a note begging to surrender and on the 14th it formally announced its unconditional surrender.^p The Kwantung Army was the cream of the main force of the Japanese army and constituted Japan's general strategic reserve.^p The Japanese imperialists had dreamed of relying on this force to carry on a long-drawn-out war from their favourable strategic position in China's Northeast and in Korea.^p This scheme was completely wrecked by the entry of the Soviet Union into the war, and the Japanese government had to admit defeat and surrender.
90.2	For details, see "A Comment on the Eleventh Plenary Session of the Kuomintang's Central Executive Committee and the Second Session of the Third People's Political Council", , Vol. III.
90.3	"Mountain" here refers to Mount Omei in Szechuan Province and more generally to the mountainous areas in southwestern and northwestern China.^p After Wuhan was occupied by the Japanese army in 1938, Chiang Kai-shek and the main force under his command took refuge in these mountainous areas and sat there watching the bitter struggle against the Japanese aggressors which was being waged behind the enemy lines by the army and people of the Liberated Areas.
90.4	Prior to the War of Resistance Against Japan, most of the revolutionary base areas led by the Communist Party of China were in mountainous regions.^p At that time Chiang Kai-shek's rule was centred in the large cities along the big rivers and the coast.^p Accordingly, Comrade Mao Tse-tung said "we were on the mountain and he was by the water".
90.5	During the War of Resistance the front lines were in northern, eastern, central and southern China.^p People usually referred to the Kuomintang areas in southwestern and northwestern China which were not occupied by the Japanese invaders as the Great Rear Area.
90.6	The Northern Expedition was the punitive war against the Northern warlords launched by the revolutionary army which marched north from Kwangtung Province in May-July 1926.^p The Northern Expeditionary Army, with the Communist Party of China taking part in its leadership and under the Party's influence (the political work in the army was at that time mostly under the charge of Communist Party members), gained the warm support of the broad masses of workers and peasants.^p In the second half of 1926 and the first half of 1927 it occupied most of the provinces along the Yangtse and Yellow Rivers and defeated the Northern warlords.^p In April 1927 this revolutionary war failed as a result of betrayal by the reactionary clique under Chiang Kai-shek within the army.
90.7	In 1924, with the help of the Communist Party of China, Sun Yat-sen reorganized the Kuomintang and effected co-operation between the Kuomintang and the Communist Party.^p The Revolutionary War of 1924-27 was launched on the basis of this cooperation.^p This first co-operation between the Kuomintang and the Communist Party was wrecked as a result of betrayals by Chiang Kai-shek and Wang Ching-wei in 1927.
90.8	This refers to Chiang Kai-shek's betrayal of the revolution in 1927.^p After betraying the revolution, Chiang Kai-shek massacred great numbers of Communists workers, peasants and revolutionary intellectuals and unleashed a counter-revolutionary war against the revolutionary masses.
90.9	This Congress was held in Yenan in April 1945.^p It was there that Comrade Mao Tse-tung delivered the political report "On Coalition Government" (see , Vol. III).
90.10	The first revolution was the anti-imperialist, anti-feudal revolutionary struggle waged from 1924 to 1927 by the Chinese people under the leadership of the Communist Party of China; the Northern Expedition was the main content of this revolution.^p The second revolution was the revolutionary struggle from 1927 to 1937 to create and develop Red political power.^p The third revolution was the War of Resistance Against Japan from 1937 to 1945.
90.11	Chen Tu-hsiu was originally a professor at Peking University and became famous as an editor of New Youth.^p He was one of the founders of the Communist Party of China.^p Owing to his reputation at the time of the May 4th Movement and owing to the Party's immaturity in its initial period, he became General Secretary of the Party.^p In the last period of the revolution of 1924-27, the Rightist thinking in the Party represented by Chen Tu-hsiu developed into a line of capitulationism.^p In "The Present Situation and Our Tasks", Comrade Mao Tse-tung said that the capitulationists at that time "voluntarily gave up the Party's leadership of the peasant masses, urban petty bourgeoisie and middle bourgeoisie, and in particular gave up the Party's leadership of the armed forces, thus causing the defeat of the revolution" (p.^p 171 of this volume).^p After the defeat in 1927 Chen Tu-hsiu and a handful of other capitulationists lost faith in the future of the revolution and became liquidationists.^p They took the reactionary Trotskyist stand and together with the Trotskyites formed a small anti-Party group.^p Consequently Chen Tu-hsiu was expelled from the Party in November 1929. He died in 1942.^p With reference to Chen Tu-hsiu's Right opportunism, see the introductory notes to "Analysis of the Classes in Chinese Society" and to "Report on the Investigation into the Peasant Movement in Hunan", , Vol. I, and "Introducing The Communist", , Vol. II.
90.12	On July 21, 1945, the Provisional 59th Division and 2nd Cavalry Division under Hu Tsung-nan, Commander of the Kuomintang's 1st War Zone, suddenly attacked Yehtai Mountain in Chunhua County in the Kuanchung sub-region of the Shensi-Kansu-Ningsia Border Region.^p On July 23 Hu Tsung-nan sent his 3rd Reserve Division to join in the attack.^p On July 27 our forces withdrew on their own initiative from Yehtai Mountain and forty-one villages west of it.^p The Kuomintang forces continued their attacks on Hsunyi, Yaohsien and other points.^p On August 8 our forces struck back at the invading Kuomintang troops and recovered the Yehtai mountain area.
90.13	This slogan was raised by the "Left" opportunists during the period from October 1933 to October 1934 when the Red Army of the Central Base Area was repulsing the Kuomintang's fifth encirclement campaign.^p The slogan was diametrically opposed to the strategy formulated by Comrade Mao Tse-tung, which was to lure the enemy deep into our territory, concentrate a superior force and select the enemy's weak points in order to wipe him out in mobile warfare.
90.14	In January 1941, as demanded by Chiang Kai-shek, the Headquarters of the New Fourth Army led by the Communist Party of China and the units under the direct command of this headquarters moved north from southern Anhwei Province to cross the Yangtse River.^p While on the march they were encircled and ambushed by Chiang Kai-shek's troops and lost more than 9,000, killed, wounded and captured.^p Chiang Kai-shek announced the cancellation of the designation of the New Fourth Army and ordered attacks against its other units.^p The event was called the Southern Anhwei Incident.
90.15	During the War of Resistance the Kuomintang kept a staff officer in Yenan for liaison.^p "Ho" refers to Ho Ying-chin, Chief of the Kuomintang General Staff.^p On October 19 and December 8,1940, Chiang Kai-shek sent two telegrams in the names of Ho Ying-chin and Pai Chung-hsi, Deputy Chief of the Kuomintang General Staff, outrageously slandering the Eighth Route Army and the New Fourth Army, which were fighting stubbornly behind the Japanese lines, and arbitrarily ordering the people's anti-Japanese armed forces operating south of the Yellow River to withdraw north of the river within a definite time-limit.^p The Kuomintang reactionaries then launched a sudden attack on units of the New Fourth Army which were moving north and thus created the Southern Anhwei Incident.^p At that time the Communist Party of China pointed to Ho Ying-chin as the representative of the Kuomintang reactionaries who had launched the large-scale anti-Communist campaign, but actually Chiang Kai-shek was meant.
90.16	The "People's Political Council" was an advisory body set up by the Kuomintang government after the start of the War of Resistance.^p Its members were all "selected" by the Kuomintang government; the majority belonged to the Kuomintang, and only a very few belonged to the Communist Party of China and other political parties.^p Moreover, the Kuomintang government did not recognize the equal and legal status of the parties which were opposed to Japanese aggression, nor did it allow their members to sit in the "People's Political Council" as representatives of their parties.^p One of the stipulations of the "Organic Rules of the People's Political Council" promulgated by the Kuomintang government was that those persons might become members of the Council "who have served in important cultural or economic organizations for three years or more and enjoy prestige, or those who devote themselves to affairs of state and have long enjoyed prestige".^p It was on the basis of this stipulation that the Kuomintang "selected" some counselors from the Communist Party of China.
90.17	This refers to the commentary, "Chiang Kai-shek Is Provoking Civil War", written by Comrade Mao Tse-tung for the Hsinhua News Agency, pp. 27-31 of this volume.
90.18	An unfinished railway line in southeastern Shansi Province, between Paikuei in Chihsien County and Chincheng.
90.19	The province of Chahar was abolished in 1952.^p The province of Jehol was abolished in 1955.^p The territories originally under their jurisdiction were transferred to Hopei, Shansi and Liaoning Provinces and the Inner Mongolian Autonomous Region.
90.20	From July to September 1931 Chiang Kai-shek personally held the post of commander-in-chief and moved 300,000 reactionary troops in an encirclement campaign against the Kiangsi Red Base Area.^p The Red Army smashed this encirclement campaign and won a great victory.^p For details, see "Strategic Problems of the Chinese Revolutionary War", Chapter 5, Section 5, , Vol. I.
90.21	The twenty-one county towns here referred to were Juichin, Huichang, Hsunwu, Anyuan, Hsinfeng, Yutu, Hsingkuo, Ningtu, Kuangchang, Shihcheng and Lichuan in Kiangsi Province, and Chienning, Taining, Ninghua, Chingliu, Kueihua, Lungyen, Changting, Liencheng, Shanghang and Yungting in Fukien Province.
90.22	Pao-an was a county in the northwestern part of Shensi Province.^p It is now called Chihtan County.^p The Central Committee of the Communist Party of China had its headquarters there from early July 1936 to January 1937.^p Later it moved to Yenan.
90.23	The fortified village referred to was Tanpachai in the southwest of Pao-an County.^p There were over two hundred households in the village, which occupied a highly strategic position.^p Tsao Chun-chang, a landlord despot who headed a reactionary local armed band of over a hundred men, had long entrenched himself in this village.^p The Chinese Red Army repeatedly besieged the village but failed to capture it.^p In August 1936 the Red Army, while surrounding Tanpachai with the local armed forces, proceeded to win over the basic masses in the village and disintegrate the enemy from within.^p In December of the same year the bandit Tsao fled with a handful of his men, and Tanpachai was liberated.
90.24	From Maxims for the Good Household, written by Chu Po-lu in the 17th century.
90.25	The American referred to was Colonel David D.^p Barrett, head of the USA Army Observer Group in Yenan.^p With the consent of the Communist Party of China, this group was sent to Yenan in 1944 by the USA forces fighting against Japan.^p Patrick J. Hurley, a reactionary politician of the Republican Party, came to China in September 1944 as the personal representative of the USA president and at the end of the year became USA ambassador to China.^p See "The Foolish Old Man Who Removed the Mountains", Note 1, , Vol. III.
90.26	The United States dropped an atom bomb on Hiroshima on August 6, 1945, and another on Nagasaki on August 9.^p The propaganda organs of the United States and of the Kuomintang made much of the event, alleging that the Japanese government had surrendered because it was afraid of the USA atom bombs.^p By such propaganda they hoped to belittle the decisive role played by the entry of the Soviet Union into the war in compelling Japan to surrender.
90.27	Mountbatten, then Supreme Commander of Allied Forces in Southeast Asia, made a statement on August 9, 1945, welcoming the entry of the Soviet Union into the war against Japan.^p He also said that the worst possible mistake would be to believe that the atom bomb could end the war in the Far East.
91.1	On August 10, 1945, Commander-in-Chief Chu Teh issued an order from the General Headquarters in Yenan to all armed forces in the Liberated Areas concerning the surrender of the Japanese invaders.^p The order reads as follows:^p Japan has announced her unconditional surrender, and the Allies will meet to discuss measures for accepting the surrender on the basis of the Potsdam Declaration.^p  I hereby issue the following order to all our armed forces in the Liberated Areas:^p (1) In accordance with the provisions of the Potsdam Declaration, any anti-Japanese armed forces in the Liberated Areas may serve notice on enemy troops and headquarters in cities and towns or along communication lines in the vicinity, requiring them to hand over all their arms to our fighting forces within a given time; when they have handed over their arms, our forces will protect their lives in accordance with our regulations on the lenient treatment of prisoners of war.^p (2) Any anti-Japanese armed forces in the Liberated Areas may serve notice on all the puppet troops and puppet government organs in the vicinity, requiring them to come over with their troops to our side before the signing of the surrender by the Japanese invaders and to wait for reorganization and disbandment; those who fail to comply within the time allowed shall hand over all their arms.^p (3) All anti-Japanese armed forces in the Liberated Areas should resolutely wipe out all those enemy and puppet armed forces which refuse to surrender and hand over their arms.^p (4) Our armed forces have full authority to send their units to take over and occupy any city, town or communication line held by the enemy and the puppets, to set up military control, to maintain order and to appoint commissioners to take charge of all administrative matters there; in case of any act of sabotage or resistance, the culprits shall be punished as traitors.^p Then, on August 11 the General Headquarters in Yenan issued six successive orders, under which the armed forces of the Shansi-Suiyuan Liberated Area (led by Comrade Ho Lung), the Shansi-Chahar-Hopei Liberated Area (led by Comrade Nieh Jung-chen) and the Hopei-Jehol-Liaoning Liberated Area were to march on Inner Mongolia and the Northeast, the armed forces of the Shansi Liberated Area were to mop up the Japanese and puppet troops along the Tatung-Puchow Railway and in the Fenho River valley; and the armed forces of all the Liberated Areas were to launch vigorous offensives on all the main communication lines under enemy control to compel the Japanese and puppet troops to surrender.^p  The units of the People's Liberation Army in all the Liberated Areas resolutely carried out these orders and won important victories.
91.2	Here "enemy" refers to the Japanese invading forces, and "puppets" refers to the puppet governments set up by the Japanese invaders and to the troops of these puppet governments, consisting largely of former Kuomintang officials and of troops who had surrendered to Japan.
91.3	This refers to the declaration made by China, Britain and the United States at the Potsdam conference on July 26, 1945, requiring Japan to surrender.^p The main points of the declaration were that Japanese militarism must be eliminated for good and all, Japan's military forces must be completely disarmed; Japan's war industries must be dismantled; Japanese war criminals must be tried; the Cairo Declaration must be carried out, that is, Japan must renounce the territories she had stolen, such as Korea and China's Manchuria, Taiwan and the Penghu Islands, and Japan's territory must be limited to the islands of Honshu, Hokkaido, Kyushu, Shikoku and various minor islands; and that the armed forces of the Allies were to occupy Japan until the establishment of a democratic Japanese government.^p The Soviet Union also signed the Potsdam Declaration after it declared war on Japan on August 8,1945.
91.4	This refers to the dastardly practice of capitulating to Japan and fighting communism followed by the Kuomintang reactionaries during the War of Resistance Against Japan.^p The Kuomintang reactionaries directed part of their troops and government officials to surrender to the Japanese invaders and then, as puppet troops and officials, to join the Japanese troops in attacking the Liberated Areas, this was what they cunningly named "saving the nation by a devious path".
91.5	Tai Li was the Director of the Bureau of Investigation and Statistics of the Military Council of the Kuomintang, one of the Kuomintang's huge secret service agencies.
91.6	The invasion by Kuomintang troops of Chunhua, Hsunyi and Yaohsien in the Kuanchung sub-region of the Shensi-Kansu-Ningsia Border Region in July 1945.^p See "The Situation and Our Policy After the Victory in the War of Resistance Against Japan", Note 12, p. 24 of this volume.
91.7	Wang Ching-wei's puppet regime was in Nanking and Chiang Kai-shek's regime was in Chungking.^p The "merger of the Nanking and Chungking regimes" was a political plot hatched by Japanese imperialism and the pro-Japanese elements within the Kuomintang.
91.8	Wang Ching-wei was a notorious Kuomintang leader and pro-Japanese traitor.^p He openly surrendered to the Japanese invaders in December 1938 when he was vice-chairman of the Kuomintang and chairman of its People's Political Council.^p In March 1940 he became president of the puppet central government then formed in Nanking.^p He died in Japan in November 1944.
92.1	See "Chiang Kai-shek Is Provoking Civil War", Note 1, p. 30 of this volume.
92.2	The nineteen Liberated Areas were: Shensi-Kansu-Ningsia, Shansi-Suiyuan, Shansi-Chahar-Hopei, Hopei-Jehol-Liaoning, Shansi-Hopei-Honan, Hopei-Shantung-Honan, Shantung, Northern Kiangsu, Central Kiangsu, Southern Kiangsu, Huai River North, Huai River South, Central Anhwei, Chekiang, Kwangtung, Chiungyai (Hainan Island), Hunan-Hupeh-Kiangsi, Hupeh-Honan-Anhwei and Honan.
92.3	On July 7, 1937, Japanese invading forces attacked the Chinese garrison at Lukouchiao, ten kilometres southwest of Peking.^p Under the influence of the ardent anti-Japanese movement of the whole people, the Chinese troops there put up resistance.^p This incident marked the beginning of the Chinese people's heroic War of Resistance Against Japan which lasted for eight years.
92.4	On August 10,1945, the Japanese government notified the Soviet Union, China, the United States and Britain of its desire to surrender.^p On August 11 the governments of the four countries replied that "all the Japanese military, naval and air authorities" and "all the forces under their control wherever located" must "cease active operations" and "surrender their arms".
92.5	Yasuji Okamura was then commander-in-chief of the Japanese invading forces China.^p The order from Commander-in-Chief Chu Teh to Yasuji Okamura reads as follows:^p (1) The Japanese government has formally accepted the terms of the Potsdam Declaration and announced its surrender.^p (2) You are to order all the troops under your command to cease all military operations; all of them, except those encircled by the troops of the Kuomintang government, must surrender to us upon orders from the Eighth Route Army, New Fourth Army and Southern China Anti-Japanese Column of China's Liberated Areas.^p (3) With regard to the surrender of the Japanese troops in northern China, you are to order General Sadamu Shimomura to appoint a representative to go to the Eighth Route Army's Fuping area to receive orders from General Nieh Jung-chen; with regard to the surrender of the Japanese troops in eastern China, you yourself are to appoint a representative to go to the Tienchang area, where the Headquarters of the New Fourth Army is located, to receive orders from General Chen Yi; with regard to the surrender of the Japanese troops in Hupeh and Honan Provinces, you are to order your representative in Wuhan to go to the Tapieh mountain area of the 5th Division of the New Fourth Army to receive orders from General Li Hsien-nien; with regard to the surrender of the Japanese troops in Kwangtung, you are to instruct your representative in Canton to go to the Tungkuan area of the Southern China Anti-Japanese Column to receive orders from General Tseng Sheng.^p (4) All the Japanese troops in northern, eastern, central and southern China (except those encircled by the Kuomintang troops) must keep all arms and matériel intact, pending our army's acceptance of their surrender, and must not take orders except from the Eighth Route Army, the New Fourth Army or the Southern China Anti-Japanese Column.^p (5) All the aircraft and vessels in northern and eastern China are to stay where they are, but the vessels anchored along the Chinese coast of the Yellow Sea and the Pohai Gulf should be assembled at Lienyunkang, Tsingtao, Weihaiwei and Tientsin.^p (6) There must be no destruction of any matériel or installations.^p (7) You and the commanders of the Japanese army in northern, eastern, central and southern China will be held completely responsible for the execution of this order.
92.6	Chester W. Nimitz was then Commander-in-Chief of the USA Pacific War Theatre.
93.1	See "A Comment on the Eleventh Plenary Session of the Kuomintang's Central Executive Committee and the Second Session of the Third People's Political Council", , Vol. III.
93.2	The Three People's Principles were the principles and programmes put forward by Sun Yat-sen on the questions of nationalism, democracy and people's livelihood in the bourgeois democratic revolution in China.^p In 1924, in the Manifesto of the First National Congress of the Kuomintang, a congress characterized by co-operation between the Kuomintang and the Communist Party, Sun Yat-sen restated the Three People's Principles, interpreted nationalism as opposition to imperialism and expressed active support for the movements of the workers and peasants.^p The old Three People's Principles thus developed into the new Three People's Principles with the Three Great Policies, that is, alliance with the Soviet Union, alliance with the Communist Party and assistance to the peasants and workers.^p The new Three People's Principles provided the political basis for the co-operation between the Communist Party of China and the Kuomintang during the First Revolutionary Civil War period.
93.3	This refers to the attack in July 1945 by Kuomintang troops on Chunhua, Hsunyi and Yaohsien in the Kuanchung sub-region of the Shensi-Kansu-Ningsia Border Region.^p See "The Situation and Our Policy After the Victory in the War of Resistance Against Japan", Note 12, p. 24 of this volume.
93.4	The "League for Banning Civil War" was formed in Shanghai in August 1932 with a mainly bourgeois membership.^p It issued a declaration calling for "ending the civil war and uniting to resist foreign aggression".
93.5	In 1936 the Kuomintang's Northeastern Army headed by Chang Hsueh-liang and the Kuomintang's Northwestern Army headed by Yang Hu-cheng were stationed in and around Sian; they were charged with the task of attacking the Chinese Red Army which had arrived in northern Shensi.^p Influenced by the Chinese Red Army and the people's anti-Japanese movement, they agreed to the Anti-Japanese National United Front put forward by the Communist Party of China and demanded that Chiang Kai-shek unite with the Communist Party to resist Japan.^p Chiang Kai-shek turned down the demand, became even more active in his military preparations for the "suppression of the Communists" and massacred the anti-Japanese youth of Sian.^p Chang Hsueh-liang and Yang Hu-cheng took joint action and arrested Chiang Kai-shek.^p This was the famous Sian Incident of December 12, 1936.^p Chiang Kai-shek was forced to accept the terms of unity with the Communist Party and resistance to Japan and was then set free to return to Nanking.
93.6	See "Talk with the Correspondents of the Central News Agency, the Sao Tang Pao and the Hsin Min Pao", , Vol. II.
93.7	From the communiqué of the Crimea (Yalta) conference of the Soviet Union, the United States of America and the United Kingdom, February 11, 1945.
94.1	Around the time of Japan's surrender, the Soviet Union, the United States and Britain for a period all expressed disapproval of civil war in China.^p Events soon demonstrated, however, that the USA statement about its so-called disapproval of civil war in China was only a screen for actively helping the reactionary Kuomintang government prepare for a counter-revolutionary civil war.
94.2	The three great slogans of peace, democracy and unity were put forward in the "Declaration on the Current Situation" by the Central Committee of the Communist Party of China on August 25, 1945.^p The declaration pointed out that after the surrender of Japanese imperialism, "the important task confronting the whole nation is to consolidate unity in the country, safeguard domestic peace, bring about democracy and improve the people's livelihood so as, on the basis of peace, democracy and unity, to achieve national unification and build a new China, independent, free, prosperous and powerful".
94.3	The Democratic League was formed in 1941 under the name of the China Federation of Democratic Political Groups.^p It was reorganized under the name of the China Democratic League in 1944.
94.4	See "Problems of Tactics in the Present Anti-Japanese United Front" and "On Policy", , Vol. II.
